Epoch:20 -test_loss:0.2102 -test_mAP:0.1348 -test_mAcc:0.1289 -loss:0.2167 -acc:0.5658
Epoch:40 -test_loss:0.2046 -test_mAP:0.1517 -test_mAcc:0.1155 -loss:0.2120 -acc:0.6001
Epoch:60 -test_loss:0.2020 -test_mAP:0.1645 -test_mAcc:0.1827 -loss:0.2092 -acc:0.5947
Epoch:80 -test_loss:0.1982 -test_mAP:0.1764 -test_mAcc:0.3297 -loss:0.2054 -acc:0.6284
Epoch:100 -test_loss:0.1966 -test_mAP:0.1835 -test_mAcc:0.2928 -loss:0.2019 -acc:0.6272
Epoch:120 -test_loss:0.1950 -test_mAP:0.1884 -test_mAcc:0.2637 -loss:0.1994 -acc:0.6376
Epoch:140 -test_loss:0.1943 -test_mAP:0.1894 -test_mAcc:0.3019 -loss:0.2001 -acc:0.6274
Epoch:160 -test_loss:0.1945 -test_mAP:0.1909 -test_mAcc:0.2769 -loss:0.1989 -acc:0.6568
Epoch:180 -test_loss:0.1943 -test_mAP:0.1910 -test_mAcc:0.2924 -loss:0.1991 -acc:0.6330
Epoch:200 -test_loss:0.1943 -test_mAP:0.1915 -test_mAcc:0.3544 -loss:0.1989 -acc:0.6464
Epoch:220 -test_loss:0.1940 -test_mAP:0.1905 -test_mAcc:0.4385 -loss:0.1979 -acc:0.6277
Epoch:240 -test_loss:0.1936 -test_mAP:0.1936 -test_mAcc:0.3389 -loss:0.1973 -acc:0.6525
Epoch:260 -test_loss:0.1936 -test_mAP:0.1940 -test_mAcc:0.2877 -loss:0.1986 -acc:0.6450
Epoch:280 -test_loss:0.1934 -test_mAP:0.1920 -test_mAcc:0.2921 -loss:0.1978 -acc:0.6477
Epoch:300 -test_loss:0.1931 -test_mAP:0.1948 -test_mAcc:0.4045 -loss:0.1973 -acc:0.6389
Epoch:320 -test_loss:0.1926 -test_mAP:0.1959 -test_mAcc:0.3370 -loss:0.1965 -acc:0.6446
Epoch:340 -test_loss:0.1933 -test_mAP:0.1962 -test_mAcc:0.3369 -loss:0.1967 -acc:0.6469
Epoch:360 -test_loss:0.1929 -test_mAP:0.1971 -test_mAcc:0.3784 -loss:0.1965 -acc:0.6400
Epoch:380 -test_loss:0.1921 -test_mAP:0.2002 -test_mAcc:0.3658 -loss:0.1957 -acc:0.6318
Epoch:400 -test_loss:0.1917 -test_mAP:0.2008 -test_mAcc:0.3859 -loss:0.1957 -acc:0.6495
Epoch:420 -test_loss:0.1920 -test_mAP:0.2044 -test_mAcc:0.3012 -loss:0.1958 -acc:0.6498
Epoch:440 -test_loss:0.1920 -test_mAP:0.2008 -test_mAcc:0.3537 -loss:0.1960 -acc:0.6590
Epoch:460 -test_loss:0.1919 -test_mAP:0.2033 -test_mAcc:0.3674 -loss:0.1947 -acc:0.6623
Epoch:480 -test_loss:0.1918 -test_mAP:0.2029 -test_mAcc:0.3961 -loss:0.1944 -acc:0.6600
Epoch:500 -test_loss:0.1910 -test_mAP:0.2054 -test_mAcc:0.3817 -loss:0.1951 -acc:0.6357
Epoch:520 -test_loss:0.1921 -test_mAP:0.2019 -test_mAcc:0.3763 -loss:0.1943 -acc:0.6518
Epoch:540 -test_loss:0.1910 -test_mAP:0.2042 -test_mAcc:0.4874 -loss:0.1941 -acc:0.6379
Epoch:560 -test_loss:0.1915 -test_mAP:0.2046 -test_mAcc:0.4641 -loss:0.1932 -acc:0.6560
Epoch:580 -test_loss:0.1913 -test_mAP:0.2054 -test_mAcc:0.3353 -loss:0.1933 -acc:0.6514
Epoch:600 -test_loss:0.1908 -test_mAP:0.2066 -test_mAcc:0.3901 -loss:0.1924 -acc:0.6537
Epoch:620 -test_loss:0.1908 -test_mAP:0.2067 -test_mAcc:0.4483 -loss:0.1922 -acc:0.6515
Epoch:640 -test_loss:0.1901 -test_mAP:0.2103 -test_mAcc:0.5491 -loss:0.1920 -acc:0.6597
Epoch:660 -test_loss:0.1907 -test_mAP:0.2087 -test_mAcc:0.3940 -loss:0.1931 -acc:0.6497
Epoch:680 -test_loss:0.1901 -test_mAP:0.2098 -test_mAcc:0.4821 -loss:0.1924 -acc:0.6732
Epoch:700 -test_loss:0.1900 -test_mAP:0.2105 -test_mAcc:0.4984 -loss:0.1918 -acc:0.6651
Epoch:720 -test_loss:0.1895 -test_mAP:0.2114 -test_mAcc:0.4642 -loss:0.1902 -acc:0.6767
Epoch:740 -test_loss:0.1900 -test_mAP:0.2099 -test_mAcc:0.4061 -loss:0.1913 -acc:0.6519
Epoch:760 -test_loss:0.1898 -test_mAP:0.2096 -test_mAcc:0.4384 -loss:0.1904 -acc:0.6606
Epoch:780 -test_loss:0.1897 -test_mAP:0.2112 -test_mAcc:0.4676 -loss:0.1914 -acc:0.6553
Epoch:800 -test_loss:0.1893 -test_mAP:0.2144 -test_mAcc:0.4859 -loss:0.1904 -acc:0.6664
Epoch:820 -test_loss:0.1890 -test_mAP:0.2161 -test_mAcc:0.5165 -loss:0.1897 -acc:0.6746
Epoch:840 -test_loss:0.1894 -test_mAP:0.2144 -test_mAcc:0.5051 -loss:0.1898 -acc:0.6597
Epoch:860 -test_loss:0.1888 -test_mAP:0.2153 -test_mAcc:0.4563 -loss:0.1899 -acc:0.6630
Epoch:880 -test_loss:0.1892 -test_mAP:0.2150 -test_mAcc:0.4111 -loss:0.1885 -acc:0.6742
